2025-11-07 13:37:46,401 | INFO     | pid=15448 | config.log_config | Logging to C:\Users\david\building-data-pipelines\chapter_5\logs\etl_pipeline.log
2025-11-07 13:37:47,353 | INFO     | pid=15448 | CrashDataPipeline | Pipeline starting
2025-11-07 13:37:47,353 | INFO     | pid=15448 | CrashDataPipeline | READING_CRASH_DATA_PIPELINE → starting
2025-11-07 13:37:47,353 | INFO     | pid=15448 | CrashDataPipeline | Reading data from traffic_crashes.csv and traffic_crash_vehicle.csv
2025-11-07 13:37:47,391 | INFO     | pid=15448 | CrashDataPipeline | <OK> - read_data_pipeline finished successfully
2025-11-07 13:37:47,391 | INFO     | pid=15448 | CrashDataPipeline | READING_CRASH_DATA_PIPELINE → <OK>
2025-11-07 13:37:47,402 | INFO     | pid=15448 | CrashDataPipeline | DROPPING_ROW_WITH_NULL_PIPELINE → starting
2025-11-07 13:37:47,403 | INFO     | pid=15448 | CrashDataPipeline | Dropping rows with null values (crash & vehicle)
2025-11-07 13:37:47,410 | INFO     | pid=15448 | CrashDataPipeline | <OK> - drop_rows_with_null_values finished successfully
2025-11-07 13:37:47,411 | INFO     | pid=15448 | CrashDataPipeline | DROPPING_ROW_WITH_NULL_PIPELINE → <OK>
2025-11-07 13:37:47,411 | INFO     | pid=15448 | CrashDataPipeline | FILLING_MISSING_VALUE_PIPELINE → starting
2025-11-07 13:37:47,412 | INFO     | pid=15448 | CrashDataPipeline | Filling missing values (crash & vehicle)
2025-11-07 13:37:47,412 | INFO     | pid=15448 | CrashDataPipeline | <OK> - fill_missing_values finished successfully
2025-11-07 13:37:47,412 | INFO     | pid=15448 | CrashDataPipeline | FILLING_MISSING_VALUE_PIPELINE → <OK>
2025-11-07 13:37:47,412 | INFO     | pid=15448 | CrashDataPipeline | MERGE_DATA_FRAME_PIPELINE → starting
2025-11-07 13:37:47,418 | INFO     | pid=15448 | CrashDataPipeline | Merging dataframes (crash ⟕ vehicle)
2025-11-07 13:37:47,427 | INFO     | pid=15448 | CrashDataPipeline | <OK> - merge_dataframes finished successfully
2025-11-07 13:37:47,428 | INFO     | pid=15448 | CrashDataPipeline | MERGE_DATA_FRAME_PIPELINE → <OK>
2025-11-07 13:37:47,429 | INFO     | pid=15448 | CrashDataPipeline | FORMAT_DATAFRAME_PIPELINE → starting
2025-11-07 13:37:47,430 | INFO     | pid=15448 | CrashDataPipeline | Formatting output dataframe (rename columns)
2025-11-07 13:37:47,433 | INFO     | pid=15448 | CrashDataPipeline | <OK> - format_dataframes finished successfully
2025-11-07 13:37:47,434 | INFO     | pid=15448 | CrashDataPipeline | FORMAT_DATAFRAME_PIPELINE → <OK>
2025-11-07 13:37:47,436 | INFO     | pid=15448 | CrashDataPipeline | Pipeline completed successfully
