2025-11-07 14:25:23,454 | INFO     | pid=31976 | config.log_config | log_config | Logging to C:\Users\david\building-data-pipelines\chapter_5\logs\transformation_pipeline_2025-11-07_14-25_31976.log
2025-11-07 14:25:23,454 | INFO     | pid=31976 | bootstrap | bootstrap | Initialized logging -> C:\Users\david\building-data-pipelines\chapter_5\logs\transformation_pipeline_2025-11-07_14-25_31976.log
2025-11-07 14:25:23,454 | INFO     | pid=31976 | bootstrap | <module> | Initialized logging -> C:\Users\david\building-data-pipelines\chapter_5\logs\transformation_pipeline_2025-11-07_14-25_31976.log
2025-11-07 14:25:24,488 | INFO     | pid=31976 | CrashDataPipeline | run | Pipeline starting
2025-11-07 14:25:24,492 | INFO     | pid=31976 | CrashDataPipeline | _run_step | READING_CRASH_DATA_PIPELINE → starting
2025-11-07 14:25:24,493 | INFO     | pid=31976 | CrashDataPipeline | read_data_pipeline | Reading data from traffic_crashes.csv and traffic_crash_vehicle.csv
2025-11-07 14:25:24,539 | INFO     | pid=31976 | CrashDataPipeline | read_data_pipeline | <OK> - read_data_pipeline finished successfully
2025-11-07 14:25:24,540 | INFO     | pid=31976 | CrashDataPipeline | _run_step | READING_CRASH_DATA_PIPELINE → <OK>
2025-11-07 14:25:24,541 | INFO     | pid=31976 | CrashDataPipeline | _run_step | DROPPING_ROW_WITH_NULL_PIPELINE → starting
2025-11-07 14:25:24,542 | INFO     | pid=31976 | CrashDataPipeline | drop_rows_with_null_values_pipeline | Dropping rows with null values (crash & vehicle)
2025-11-07 14:25:24,554 | INFO     | pid=31976 | CrashDataPipeline | drop_rows_with_null_values_pipeline | <OK> - drop_rows_with_null_values finished successfully
2025-11-07 14:25:24,556 | INFO     | pid=31976 | CrashDataPipeline | _run_step | DROPPING_ROW_WITH_NULL_PIPELINE → <OK>
2025-11-07 14:25:24,557 | INFO     | pid=31976 | CrashDataPipeline | _run_step | FILLING_MISSING_VALUE_PIPELINE → starting
2025-11-07 14:25:24,559 | INFO     | pid=31976 | CrashDataPipeline | fill_missing_values_pipeline | Filling missing values (crash & vehicle)
2025-11-07 14:25:24,563 | INFO     | pid=31976 | CrashDataPipeline | fill_missing_values_pipeline | <OK> - fill_missing_values finished successfully
2025-11-07 14:25:24,568 | INFO     | pid=31976 | CrashDataPipeline | _run_step | FILLING_MISSING_VALUE_PIPELINE → <OK>
2025-11-07 14:25:24,569 | INFO     | pid=31976 | CrashDataPipeline | _run_step | MERGE_DATA_FRAME_PIPELINE → starting
2025-11-07 14:25:24,570 | INFO     | pid=31976 | CrashDataPipeline | merge_dataframes_pipeline | Merging dataframes (crash ⟕ vehicle)
2025-11-07 14:25:24,585 | INFO     | pid=31976 | CrashDataPipeline | merge_dataframes_pipeline | <OK> - merge_dataframes finished successfully
2025-11-07 14:25:24,586 | INFO     | pid=31976 | CrashDataPipeline | _run_step | MERGE_DATA_FRAME_PIPELINE → <OK>
2025-11-07 14:25:24,586 | INFO     | pid=31976 | CrashDataPipeline | _run_step | FORMAT_DATAFRAME_PIPELINE → starting
2025-11-07 14:25:24,587 | INFO     | pid=31976 | CrashDataPipeline | format_dataframes_pipeline | Formatting output dataframe (rename columns)
2025-11-07 14:25:24,593 | INFO     | pid=31976 | CrashDataPipeline | format_dataframes_pipeline | <OK> - format_dataframes finished successfully
2025-11-07 14:25:24,596 | INFO     | pid=31976 | CrashDataPipeline | _run_step | FORMAT_DATAFRAME_PIPELINE → <OK>
2025-11-07 14:25:24,597 | INFO     | pid=31976 | CrashDataPipeline | run | Pipeline completed successfully
