2025-11-07 14:21:30,348 | INFO     | pid=85996 | config.log_config | log_config | Logging to C:\Users\david\building-data-pipelines\chapter_5\logs\transformation_pipeline_20251107_142130_287_PID85996.log
2025-11-07 14:21:30,349 | INFO     | pid=85996 | bootstrap | bootstrap | Initialized logging -> C:\Users\david\building-data-pipelines\chapter_5\logs\transformation_pipeline_20251107_142130_287_PID85996.log
2025-11-07 14:21:30,350 | INFO     | pid=85996 | bootstrap | <module> | Initialized logging -> C:\Users\david\building-data-pipelines\chapter_5\logs\transformation_pipeline_20251107_142130_287_PID85996.log
2025-11-07 14:21:31,464 | INFO     | pid=85996 | CrashDataPipeline | run | Pipeline starting
2025-11-07 14:21:31,467 | INFO     | pid=85996 | CrashDataPipeline | _run_step | READING_CRASH_DATA_PIPELINE → starting
2025-11-07 14:21:31,468 | INFO     | pid=85996 | CrashDataPipeline | read_data_pipeline | Reading data from traffic_crashes.csv and traffic_crash_vehicle.csv
2025-11-07 14:21:31,514 | INFO     | pid=85996 | CrashDataPipeline | read_data_pipeline | <OK> - read_data_pipeline finished successfully
2025-11-07 14:21:31,515 | INFO     | pid=85996 | CrashDataPipeline | _run_step | READING_CRASH_DATA_PIPELINE → <OK>
2025-11-07 14:21:31,515 | INFO     | pid=85996 | CrashDataPipeline | _run_step | DROPPING_ROW_WITH_NULL_PIPELINE → starting
2025-11-07 14:21:31,515 | INFO     | pid=85996 | CrashDataPipeline | drop_rows_with_null_values_pipeline | Dropping rows with null values (crash & vehicle)
2025-11-07 14:21:31,527 | INFO     | pid=85996 | CrashDataPipeline | drop_rows_with_null_values_pipeline | <OK> - drop_rows_with_null_values finished successfully
2025-11-07 14:21:31,527 | INFO     | pid=85996 | CrashDataPipeline | _run_step | DROPPING_ROW_WITH_NULL_PIPELINE → <OK>
2025-11-07 14:21:31,530 | INFO     | pid=85996 | CrashDataPipeline | _run_step | FILLING_MISSING_VALUE_PIPELINE → starting
2025-11-07 14:21:31,530 | INFO     | pid=85996 | CrashDataPipeline | fill_missing_values_pipeline | Filling missing values (crash & vehicle)
2025-11-07 14:21:31,535 | INFO     | pid=85996 | CrashDataPipeline | fill_missing_values_pipeline | <OK> - fill_missing_values finished successfully
2025-11-07 14:21:31,536 | INFO     | pid=85996 | CrashDataPipeline | _run_step | FILLING_MISSING_VALUE_PIPELINE → <OK>
2025-11-07 14:21:31,536 | INFO     | pid=85996 | CrashDataPipeline | _run_step | MERGE_DATA_FRAME_PIPELINE → starting
2025-11-07 14:21:31,537 | INFO     | pid=85996 | CrashDataPipeline | merge_dataframes_pipeline | Merging dataframes (crash ⟕ vehicle)
2025-11-07 14:21:31,549 | INFO     | pid=85996 | CrashDataPipeline | merge_dataframes_pipeline | <OK> - merge_dataframes finished successfully
2025-11-07 14:21:31,550 | INFO     | pid=85996 | CrashDataPipeline | _run_step | MERGE_DATA_FRAME_PIPELINE → <OK>
2025-11-07 14:21:31,550 | INFO     | pid=85996 | CrashDataPipeline | _run_step | FORMAT_DATAFRAME_PIPELINE → starting
2025-11-07 14:21:31,551 | INFO     | pid=85996 | CrashDataPipeline | format_dataframes_pipeline | Formatting output dataframe (rename columns)
2025-11-07 14:21:31,558 | INFO     | pid=85996 | CrashDataPipeline | format_dataframes_pipeline | <OK> - format_dataframes finished successfully
2025-11-07 14:21:31,559 | INFO     | pid=85996 | CrashDataPipeline | _run_step | FORMAT_DATAFRAME_PIPELINE → <OK>
2025-11-07 14:21:31,560 | INFO     | pid=85996 | CrashDataPipeline | run | Pipeline completed successfully
